iter	Passed	Remaining
903	6930	736
904	6938	728
905	6945	720
906	6952	712
907	6960	705
908	6967	697
909	6974	689
910	6981	682
911	6989	674
912	6996	666
913	7004	659
914	7011	651
915	7018	643
916	7026	635
917	7033	628
918	7041	620
919	7048	612
920	7056	605
921	7063	597
922	7071	589
923	7078	582
924	7086	574
925	7093	566
926	7105	559
927	7115	552
928	7124	544
929	7133	536
930	7143	529
931	7150	521
932	7157	513
933	7165	506
934	7175	498
935	7183	491
936	7191	483
937	7199	475
938	7206	468
939	7214	460
940	7221	452
941	7229	445
942	7236	437
943	7244	429
944	7251	422
945	7259	414
946	7266	406
947	7274	399
948	7281	391
949	7289	383
950	7296	375
951	7304	368
952	7312	360
953	7319	352
954	7327	345
955	7334	337
956	7342	329
957	7350	322
958	7357	314
959	7364	306
960	7372	299
961	7379	291
962	7387	283
963	7395	276
964	7403	268
965	7410	260
966	7418	253
967	7425	245
968	7433	237
969	7440	230
970	7447	222
971	7455	214
972	7462	207
973	7470	199
974	7477	191
975	7484	184
976	7492	176
977	7499	168
978	7507	161
979	7513	153
980	7521	145
981	7529	138
982	7538	130
983	7546	122
984	7554	115
985	7562	107
986	7571	99
987	7578	92
988	7587	84
989	7595	76
990	7604	69
991	7611	61
992	7619	53
993	7627	46
994	7636	38
995	7644	30
996	7653	23
997	7660	15
998	7668	7
999	7676	0
